time,Bx,By,Bz,BT
3.512431,7.16,28.61,-22.68,37.20
3.523239,7.10,28.56,-22.67,37.15
3.533198,7.17,28.46,-22.88,37.21
3.542700,7.09,28.43,-22.95,37.21
3.553195,7.05,28.32,-22.95,37.12
3.562570,7.10,28.36,-23.07,37.25
3.573232,7.11,28.28,-23.27,37.30
3.582524,7.08,28.23,-23.22,37.23
3.593551,7.08,28.49,-23.06,37.33
3.606797,7.17,28.60,-23.11,37.46
3.613016,7.27,28.52,-23.13,37.44
3.622550,7.32,28.43,-23.07,37.33
3.634513,7.41,28.33,-23.17,37.34
3.642559,7.44,28.15,-23.20,37.23
3.652076,7.41,28.12,-23.11,37.14
3.663428,7.37,28.18,-23.22,37.25
3.673140,7.30,28.07,-23.30,37.21
3.701076,7.26,28.11,-23.33,37.24
3.702468,7.19,28.30,-23.11,37.24
3.703020,7.19,28.43,-23.03,37.29
3.712833,7.10,28.46,-23.00,37.27
3.724042,7.05,28.46,-22.89,37.20
3.733442,7.06,28.43,-22.95,37.21
3.743636,7.03,28.43,-22.96,37.21
3.753851,7.03,28.44,-22.90,37.18
3.766888,7.06,28.30,-22.83,37.04
3.774412,7.11,28.27,-22.83,37.02
3.783464,7.15,28.07,-22.97,36.97
3.792483,7.17,28.05,-22.94,36.94
3.802378,7.21,28.17,-23.00,37.07
3.812750,7.17,28.24,-22.90,37.06
3.823077,7.27,28.07,-22.85,36.92
3.832557,7.36,28.06,-23.00,37.02
3.842748,7.33,28.12,-23.11,37.13
3.852969,7.25,28.13,-23.12,37.13
3.863211,7.23,28.18,-23.01,37.09
3.873078,7.19,28.26,-22.97,37.12
3.886117,7.17,28.35,-22.85,37.11
3.893795,7.22,28.45,-22.90,37.23
3.903461,7.22,28.56,-22.75,37.22
3.913033,7.25,28.55,-22.62,37.14
3.922497,7.28,28.52,-22.58,37.10
3.933377,7.31,28.58,-22.64,37.19
3.942850,7.37,28.69,-22.74,37.35
3.953199,7.45,28.73,-22.67,37.35
3.963381,7.43,28.67,-22.78,37.36
3.973132,7.48,28.66,-22.73,37.33
3.983610,7.47,28.83,-22.72,37.45
3.992966,7.48,28.99,-22.57,37.49
4.005845,7.44,29.19,-22.36,37.52
4.019628,7.43,29.22,-22.30,37.50
4.024642,7.34,29.34,-22.09,37.46
4.032923,7.33,29.23,-22.14,37.40
4.043360,7.38,29.02,-22.16,37.25
4.052615,7.38,29.10,-22.12,37.29
4.062628,7.43,29.06,-22.01,37.20
4.072580,7.37,29.10,-22.16,37.31
4.082811,7.38,29.04,-22.22,37.30
4.092825,7.38,29.04,-22.26,37.33
4.103820,7.38,29.04,-22.23,37.31
4.117424,7.39,29.16,-22.29,37.44
4.123030,7.34,29.32,-22.34,37.58
4.132222,7.27,29.21,-22.40,37.52
4.145326,7.19,29.06,-22.62,37.52
4.152648,7.08,28.93,-22.53,37.34
4.162654,7.04,29.05,-22.58,37.46
4.173031,7.12,29.02,-22.57,37.45
4.183081,7.06,29.11,-22.70,37.59
4.194964,7.03,29.12,-22.52,37.48
4.205611,7.04,29.13,-22.41,37.42
4.212638,7.00,29.01,-22.57,37.42
4.225172,7.06,28.93,-22.63,37.40
4.232494,7.17,29.07,-22.62,37.53
4.243938,7.26,29.05,-22.57,37.50
4.253047,7.21,29.04,-22.50,37.43
4.262992,7.31,29.12,-22.25,37.37
4.273031,7.31,29.17,-22.47,37.54
4.284776,7.28,29.38,-22.34,37.62
4.293629,7.39,29.52,-22.13,37.63
4.307972,7.39,29.72,-22.06,37.74
4.312160,7.54,29.55,-22.20,37.72
4.326515,7.48,29.23,-22.42,37.59
4.332060,7.50,29.08,-22.59,37.59
4.342788,7.53,28.89,-22.72,37.51
4.352511,7.56,28.87,-22.61,37.44
4.362828,7.62,28.76,-22.75,37.45
4.372262,7.65,28.71,-22.84,37.47
4.384827,7.66,28.52,-22.79,37.30
4.396331,7.54,28.62,-22.73,37.32
4.403658,7.53,28.79,-22.46,37.28
4.413305,7.53,28.88,-22.37,37.30
4.425738,7.53,28.82,-22.46,37.30
4.434083,7.47,28.65,-22.48,37.17
4.442280,7.34,28.69,-22.37,37.12
4.453790,7.23,28.67,-22.50,37.15
4.462317,7.19,28.82,-22.46,37.24
4.478803,7.22,28.91,-22.36,37.26
4.485358,7.26,28.98,-22.51,37.40
4.494792,7.16,29.04,-22.50,37.42
4.502204,7.14,28.96,-22.53,37.38
4.512821,7.16,29.00,-22.62,37.47
4.523108,7.22,29.01,-22.75,37.57
4.533097,7.32,28.98,-22.70,37.53
4.542938,7.32,29.12,-22.75,37.67
4.556213,7.22,29.01,-22.84,37.62
4.562813,7.17,29.01,-22.75,37.56
4.572954,7.26,29.04,-22.73,37.58
4.582370,7.27,29.11,-22.70,37.63
4.592058,7.32,29.13,-22.62,37.60
4.603130,7.39,28.91,-22.64,37.46
4.617430,7.37,29.00,-22.48,37.43
4.639864,7.37,28.91,-22.56,37.41
4.643043,7.43,28.88,-22.53,37.37
4.644518,7.48,28.87,-22.61,37.42
4.653199,7.48,28.79,-22.58,37.35
4.662433,7.49,28.79,-22.72,37.43
4.676315,7.49,28.94,-22.73,37.55
4.683579,7.49,28.90,-22.72,37.52
4.692488,7.47,28.96,-22.75,37.58
4.703629,7.54,28.85,-22.67,37.46
4.712186,7.62,28.69,-22.88,37.48
4.723018,7.60,28.72,-22.70,37.39
4.732973,7.58,28.60,-22.73,37.31
4.742549,7.60,28.80,-22.45,37.30
4.754292,7.56,28.80,-22.42,37.28
4.763112,7.55,28.89,-22.34,37.29
4.772208,7.59,28.96,-22.34,37.36
4.783207,7.55,29.01,-22.37,37.41
4.793003,7.50,29.24,-22.09,37.41
4.809743,7.53,29.17,-22.22,37.43
4.812962,7.50,29.29,-22.23,37.53
4.823181,7.50,28.96,-22.37,37.36
4.832739,7.45,28.79,-22.41,37.24
4.846002,7.50,28.67,-22.55,37.24
4.853681,7.49,28.74,-22.58,37.31
4.865876,7.50,28.78,-22.57,37.34
4.873057,7.43,28.96,-22.55,37.45
4.890943,7.55,29.17,-22.48,37.60
4.897339,7.64,29.30,-22.41,37.67
4.907772,7.61,29.57,-22.37,37.86
4.913134,7.69,29.61,-22.34,37.88
4.925471,7.62,29.66,-22.24,37.85
4.932331,7.66,29.54,-22.14,37.70
4.942794,7.77,29.26,-22.13,37.50
4.952951,7.92,29.23,-22.16,37.52
4.966061,7.82,29.01,-22.16,37.33
4.973060,7.80,28.98,-22.19,37.32
4.989451,7.86,29.06,-22.12,37.36
4.993197,7.91,29.15,-22.11,37.43
5.007596,8.00,29.27,-21.96,37.46
5.012552,7.98,29.22,-21.98,37.43
5.022600,7.92,29.23,-21.97,37.42
5.033277,7.82,29.11,-22.07,37.36
5.045860,7.84,29.02,-22.18,37.36
5.052844,7.93,29.08,-22.02,37.33
5.063357,7.84,29.12,-22.00,37.33
5.072985,7.84,29.00,-22.03,37.26
5.088293,7.77,29.15,-22.02,37.35
5.093202,7.78,29.13,-22.05,37.35
5.106123,7.76,29.45,-21.97,37.55
5.113199,7.84,29.27,-21.91,37.39
5.123412,7.87,29.22,-21.86,37.33
5.133197,7.78,29.17,-21.92,37.31
5.143700,7.88,28.90,-22.01,37.17
5.152866,7.87,29.18,-21.85,37.30
5.162353,7.92,29.11,-21.97,37.32
5.172646,7.88,29.12,-21.89,37.27
5.186852,7.94,29.08,-21.86,37.24
5.195077,7.87,29.21,-21.76,37.26
5.206786,7.88,29.38,-21.72,37.37
5.212754,7.88,29.26,-21.83,37.34
5.222982,7.88,29.12,-21.85,37.25
5.233397,7.82,28.88,-22.01,37.14
5.243124,7.86,28.71,-22.00,37.01
5.253424,7.86,28.74,-22.11,37.10
5.264803,7.88,28.84,-21.92,37.07
5.273374,7.86,28.87,-22.06,37.17
5.282989,7.81,29.05,-22.02,37.28
5.293466,7.86,29.34,-21.96,37.48
5.303027,7.82,29.58,-21.90,37.63
5.329817,7.88,29.69,-21.78,37.66
5.331070,7.86,29.78,-21.74,37.70
5.331816,7.87,29.99,-21.65,37.82
5.343058,7.83,29.89,-21.72,37.77
5.352992,7.92,29.95,-21.59,37.76
5.363495,7.94,29.96,-21.64,37.81
5.373379,7.93,29.65,-21.58,37.52
5.384118,7.86,29.56,-21.40,37.33
5.393721,7.83,29.71,-21.24,37.35
5.404831,7.86,29.83,-21.23,37.44
5.413406,7.88,29.71,-21.08,37.27
5.422837,7.87,29.66,-21.20,37.30
5.433227,7.87,29.58,-21.19,37.23
5.444114,7.89,29.51,-21.25,37.21
5.453251,7.92,29.50,-21.20,37.18
5.465821,7.95,29.66,-21.24,37.34
5.473393,8.02,29.54,-21.36,37.32
5.483860,7.95,29.38,-21.34,37.17
5.495820,8.02,29.34,-21.53,37.27
5.502674,8.02,29.33,-21.57,37.28
5.514949,7.95,29.45,-21.58,37.37
5.523653,7.97,29.34,-21.48,37.23
5.533268,7.94,29.28,-21.53,37.20
5.544640,8.04,29.27,-21.61,37.26
5.553381,7.99,29.15,-21.64,37.17
5.563595,8.10,29.23,-21.63,37.26
5.573252,8.10,29.21,-21.47,37.14
5.582941,8.08,29.28,-21.35,37.13
5.598877,8.16,29.33,-21.40,37.21
5.605058,8.16,29.39,-21.31,37.21
5.612903,8.14,29.48,-21.41,37.33
5.623238,8.09,29.10,-21.56,37.11
5.632420,8.14,29.05,-21.52,37.06
5.642885,8.10,28.88,-21.69,37.01
5.652604,8.04,28.83,-21.72,36.98
5.662886,8.05,28.77,-21.75,36.95
5.673315,7.98,28.82,-21.62,36.90
5.682826,7.93,28.90,-21.75,37.03
5.697735,7.95,29.07,-21.73,37.16
5.704880,7.97,29.38,-21.61,37.33
5.713372,7.91,29.49,-21.64,37.42
5.722735,7.94,29.58,-21.59,37.48
5.733340,8.03,29.54,-21.76,37.56
5.743073,8.13,29.56,-21.86,37.65
5.753068,8.22,29.33,-22.05,37.60
5.762953,8.26,29.24,-22.00,37.51
5.774579,8.26,29.28,-21.94,37.51
5.783033,8.30,29.29,-21.96,37.54
5.793679,8.34,29.40,-21.95,37.63
5.803344,8.27,29.55,-21.78,37.63
5.814311,8.20,29.71,-21.59,37.63
5.829300,8.14,29.74,-21.50,37.59
5.833735,8.10,29.88,-21.47,37.67
5.842680,8.17,29.77,-21.51,37.62
5.853898,8.13,29.66,-21.68,37.62
5.863483,8.11,29.61,-21.59,37.53
5.873345,8.11,29.55,-21.64,37.51
5.885494,8.20,29.49,-21.72,37.53
5.892945,8.23,29.48,-21.69,37.51
5.903604,8.21,29.57,-21.69,37.58
5.916644,8.22,29.46,-21.65,37.48
5.926896,8.14,29.55,-21.72,37.56
5.933177,8.22,29.40,-21.55,37.37
5.942951,8.16,29.35,-21.63,37.36
5.952765,8.15,29.24,-21.72,37.33
5.963020,8.04,29.23,-21.72,37.29
5.973027,8.02,29.15,-21.96,37.36
5.982770,8.02,29.02,-21.94,37.25
5.995125,8.02,29.18,-21.97,37.40
6.003504,7.99,29.28,-21.83,37.38
6.012628,7.92,29.41,-21.98,37.57
6.024489,8.00,29.33,-22.02,37.54
6.033211,8.04,29.41,-21.97,37.58
6.043914,8.19,29.35,-22.06,37.62
6.054188,8.16,29.38,-21.92,37.55
6.064841,8.11,29.32,-21.94,37.50
6.073574,8.06,29.21,-22.00,37.44
6.083692,8.08,29.17,-22.08,37.47
6.093060,8.17,29.24,-22.06,37.53
6.104869,8.13,29.49,-22.08,37.72
6.113271,8.08,29.48,-22.07,37.70
6.122831,7.99,29.45,-22.06,37.65
6.133613,7.99,29.40,-22.14,37.66
6.142791,8.00,29.45,-22.13,37.70
6.152844,7.97,29.50,-22.05,37.68
6.165592,7.93,29.56,-21.98,37.68
6.172987,7.92,29.56,-21.91,37.64
6.202121,7.95,29.46,-21.95,37.59
6.206173,7.98,29.58,-21.92,37.68
6.206772,7.97,29.73,-21.83,37.73
6.213456,8.03,29.83,-21.80,37.81
6.223437,8.10,29.83,-21.90,37.88
6.232819,8.17,29.61,-21.96,37.76
6.243378,8.21,29.46,-21.85,37.59
6.253249,8.28,29.44,-21.72,37.51
6.263077,8.26,29.48,-21.73,37.54
6.273399,8.27,29.45,-21.58,37.44
6.284862,8.21,29.37,-21.64,37.39
6.293428,8.17,29.43,-21.55,37.38
6.309707,8.16,29.48,-21.51,37.39
6.313587,8.13,29.63,-21.51,37.51
6.323045,8.20,29.56,-21.64,37.54
