"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.652725283E1,2.354732982E1,8.728905861E1,8.573263238E1,3.179083252E1,1.070000052E0,3.240000153E1,1.507065905E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.752365929E1,2.354733979E1,8.728906460E1,8.620076497E1,3.225897217E1,1.080000043E0,3.000000000E1,1.516479596E-1,3.790092468E0,2.500000000E0,2.600000000E1
8.852688856E1,2.354734613E1,8.728907072E1,8.625044424E1,3.230865479E1,1.029999971E0,2.720000076E1,1.526168532E-1,3.790092468E0,2.500000000E0,2.600000000E1
8.952757913E1,2.354735375E1,8.728907533E1,8.617390078E1,3.223211670E1,1.070000052E0,2.329999924E1,1.536145707E-1,3.790092468E0,2.500000000E0,2.800000000E1
9.052476590E1,2.354736167E1,8.728907993E1,8.657642195E1,3.263464355E1,1.000000000E0,2.529999924E1,1.545860265E-1,3.790092468E0,2.500000000E0,2.800000000E1
9.152758153E1,2.354736913E1,8.728908489E1,8.708966153E1,3.314788818E1,1.019999981E0,3.160000038E1,1.556659928E-1,3.790092468E0,2.500000000E0,2.800000000E1
9.252673799E1,2.354737687E1,8.728909129E1,8.738879022E1,3.344702148E1,1.029999971E0,3.379999924E1,1.566616599E-1,3.790092468E0,2.500000000E0,2.800000000E1
9.352429694E1,2.354738460E1,8.728909622E1,8.764763498E1,3.370587158E1,1.039999962E0,3.179999924E1,1.578804409E-1,3.790092468E0,2.500000000E0,2.800000000E1
9.452776189E1,2.354739424E1,8.728910191E1,8.762766961E1,3.368591309E1,1.000000000E0,3.189999962E1,1.588757387E-1,3.790092468E0,2.500000000E0,2.800000000E1
9.552724626E1,2.354740274E1,8.728910497E1,8.721335594E1,3.327160645E1,1.029999971E0,2.810000038E1,1.599263923E-1,3.790092468E0,2.575693130E0,2.700000000E1
9.652711538E1,2.354741093E1,8.728911011E1,8.758694644E1,3.364520264E1,1.059999943E0,3.470000076E1,1.608882307E-1,3.790092468E0,2.555150509E0,2.700000000E1
9.752490705E1,2.354741826E1,8.728911512E1,8.763497622E1,3.369323730E1,1.029999971E0,2.960000038E1,1.618754781E-1,3.790092468E0,2.639052391E0,2.700000000E1
9.852837267E1,2.354742657E1,8.728911853E1,8.751930794E1,3.357757568E1,1.000000000E0,2.400000000E1,1.630688109E-1,3.790092468E0,2.607797384E0,2.700000000E1
9.952901179E1,2.354743558E1,8.728912489E1,8.731721462E1,3.337548828E1,1.149999976E0,3.720000076E1,1.642051799E-1,3.790092468E0,2.545497656E0,2.700000000E1
1.005292577E2,2.354744493E1,8.728912939E1,8.723474895E1,3.329302979E1,1.070000052E0,2.529999924E1,1.652632492E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.015253728E2,2.354745397E1,8.728913263E1,8.711499050E1,3.317327881E1,1.039999962E0,2.029999924E1,1.664449130E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.025291904E2,2.354746354E1,8.728913767E1,8.674950485E1,3.280780029E1,1.110000014E0,3.010000038E1,1.675467402E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.035282791E2,2.354747288E1,8.728914128E1,8.696659930E1,3.302490234E1,1.059999943E0,1.929999924E1,1.686433811E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.045290767E2,2.354748125E1,8.728914697E1,8.697288032E1,3.303118896E1,1.080000043E0,2.600000000E1,1.696777926E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.055268204E2,2.354748905E1,8.728915250E1,8.718759690E1,3.324591064E1,1.039999962E0,2.700000000E1,1.707316615E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.065267981E2,2.354749716E1,8.728915785E1,8.711972030E1,3.317803955E1,9.900000095E-1,3.050000000E1,1.718369276E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.075283024E2,2.354750579E1,8.728916323E1,8.723635247E1,3.329467773E1,1.070000052E0,2.579999924E1,1.731104146E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.085278051E2,2.354751513E1,8.728917046E1,8.685121482E1,3.290954590E1,1.200000048E0,2.770000076E1,1.743220641E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.095300858E2,2.354752441E1,8.728917669E1,8.635303963E1,3.241137695E1,1.190000057E0,2.460000038E1,1.753363469E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.105250704E2,2.354753217E1,8.728918192E1,8.605579320E1,3.211413574E1,1.059999943E0,2.510000038E1,1.764048847E-1,3.790092468E0,2.500000000E0,2.600000000E1
