time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
38.166691,-0.1019,-0.0312,0.0549,0.120
38.171021,-0.0726,-0.0457,-0.0073,0.086
38.177426,-0.0530,-0.0505,-0.0713,0.102
38.181483,-0.0597,-0.0741,-0.1063,0.143
38.187013,-0.0926,-0.0569,-0.0817,0.136
38.200714,-0.1041,-0.0445,-0.0501,0.124
38.201858,-0.1041,-0.0370,-0.0354,0.116
38.202391,-0.1070,-0.0247,0.0007,0.110
38.206762,-0.1080,0.0087,0.0602,0.124
38.216363,-0.0596,-0.0153,0.1359,0.149
38.218436,-0.0191,0.0248,0.1968,0.199
38.224543,-0.0147,0.0237,0.2073,0.209
38.226941,0.0301,-0.0253,0.2225,0.226
38.230060,0.0272,-0.0385,0.1711,0.177
38.236526,0.0578,-0.0732,0.1320,0.162
38.240400,0.1002,-0.0437,0.1169,0.160
38.245870,0.1067,-0.0358,0.1138,0.160
38.249348,0.1156,-0.0472,0.0585,0.138
38.257210,0.1056,-0.0679,0.0369,0.131
38.263745,0.0859,-0.0339,0.0013,0.092
38.265900,0.0639,-0.0334,-0.0246,0.076
38.269512,0.1035,-0.0328,-0.0573,0.123
38.276543,0.1166,-0.0463,-0.1158,0.171
38.280162,0.1154,-0.0239,-0.1763,0.212
38.285889,0.1641,-0.0512,-0.1840,0.252
38.297541,0.1604,-0.0614,-0.1822,0.250
38.298593,0.1619,-0.0239,-0.1686,0.235
38.299162,0.1518,-0.0247,-0.1385,0.207
38.307930,0.1302,0.0292,-0.1135,0.175
38.310110,0.0850,0.0305,-0.0886,0.127
38.315181,0.0401,0.0485,-0.0592,0.086
38.319308,0.0455,0.0237,-0.0657,0.083
38.325901,0.0413,0.0347,-0.0555,0.077
38.330448,0.0325,0.0410,-0.0952,0.109
38.338860,0.0074,0.0165,-0.0967,0.098
38.340596,-0.0318,0.0303,-0.0862,0.097
38.348332,-0.0111,0.0204,-0.1092,0.112
38.349312,-0.0355,0.0061,-0.0963,0.103
38.355376,-0.0526,0.0537,-0.1073,0.131
38.358070,-0.0339,0.0465,-0.1135,0.127
38.364381,-0.0531,0.0349,-0.1006,0.119
38.367978,-0.0626,0.0474,-0.1140,0.138
38.372867,-0.0742,0.0364,-0.1154,0.142
38.377750,-0.0975,0.0328,-0.1287,0.165
38.384551,-0.0732,0.0199,-0.1158,0.138
38.393326,-0.0394,0.0217,-0.1125,0.121
38.395501,0.0016,0.0190,-0.1141,0.116
38.402078,-0.0170,-0.0049,-0.1298,0.131
38.402654,-0.0067,-0.0023,-0.1218,0.122
38.406849,0.0109,-0.0114,-0.1114,0.113
38.412954,0.0356,-0.0298,-0.0893,0.101
38.418549,-0.0253,-0.0242,-0.0698,0.078
38.423056,-0.0263,-0.0233,-0.0599,0.069
38.428386,-0.0131,-0.0080,-0.0335,0.037
38.432693,-0.0427,-0.0071,0.0093,0.044
38.439183,-0.0484,-0.0347,0.0352,0.069
38.443584,-0.0327,-0.0430,0.0038,0.054
38.447600,-0.0362,-0.0344,-0.0154,0.052
38.452260,-0.0420,-0.0374,-0.0416,0.070
38.457747,-0.0407,-0.0261,-0.0414,0.064
38.462748,-0.0658,-0.0265,0.0300,0.077
38.467345,-0.0622,-0.0461,0.0604,0.098
38.472602,-0.0328,0.0103,0.0503,0.061
38.478001,-0.0276,0.0235,0.0712,0.080
38.482082,0.0292,0.0362,0.1109,0.120
38.495948,-0.0303,-0.0889,0.0292,0.098
38.496918,-0.0153,-0.0848,0.0454,0.097
38.497510,0.0025,-0.0334,0.0900,0.096
38.501850,0.0418,0.0361,0.1603,0.170
38.508206,-0.0044,0.0428,0.2252,0.229
38.512390,-0.0433,0.0443,0.2089,0.218
38.515951,-0.0534,0.0096,0.2117,0.219
38.522130,-0.0183,0.0081,0.1433,0.145
38.526653,0.0070,0.0325,0.1396,0.144
38.532470,-0.0011,0.0754,0.1692,0.185
38.537529,-0.0046,0.0939,0.1558,0.182
38.541494,-0.0534,0.0814,0.0855,0.130
38.547286,-0.0236,0.0355,0.0942,0.103
38.552206,-0.0871,0.0161,0.0791,0.119
38.555559,-0.0696,0.0253,0.0927,0.119
38.561203,0.0211,0.0033,0.0468,0.051
38.565468,0.0255,-0.0162,0.0465,0.055
38.571084,0.0395,-0.0144,0.0532,0.068
38.574900,0.0226,0.0017,0.0718,0.075
38.579824,0.0224,-0.0039,0.0759,0.079
38.594585,0.0463,-0.0047,0.1560,0.163
38.595677,0.0463,-0.0011,0.1405,0.148
38.596220,0.0487,-0.0334,0.1654,0.176
38.606254,0.0274,-0.0205,0.1260,0.131
38.607663,0.0322,0.0089,0.0894,0.095
38.615322,0.0417,0.0048,0.0126,0.044
38.615701,0.0414,0.0032,0.0102,0.043
38.620172,0.0147,-0.0030,-0.0326,0.036
38.624158,0.0260,-0.0042,-0.0488,0.055
38.631393,-0.0153,0.0136,-0.0982,0.100
38.636397,-0.0279,0.0029,-0.0806,0.085
38.640093,-0.0003,0.0279,-0.1250,0.128
38.645574,0.0175,0.0031,-0.1641,0.165
38.652324,0.0091,0.0049,-0.1531,0.153
38.655376,0.0341,-0.0098,-0.1992,0.202
38.658667,0.0473,-0.0026,-0.1571,0.164
38.664289,0.0082,0.0071,-0.1510,0.151
38.669779,-0.0540,0.0097,-0.1117,0.124
38.674859,-0.0441,-0.0089,-0.1108,0.120
38.678556,-0.0291,0.0155,-0.0506,0.060
38.685650,-0.0090,0.0349,-0.0170,0.040
38.690438,0.0281,-0.0148,-0.0265,0.041
38.693977,0.0251,-0.0095,-0.0099,0.029
38.698343,0.0274,-0.0138,0.0374,0.048
38.708334,0.0015,-0.0041,0.0582,0.058
38.709217,-0.0076,0.0103,0.1144,0.115
38.714777,-0.0381,0.0339,0.1179,0.128
38.719605,-0.0592,0.0309,0.1310,0.147
38.723438,-0.0450,0.0444,0.1155,0.132
38.729533,-0.0528,0.0292,0.1405,0.153
38.733100,-0.0396,0.0093,0.0894,0.098
38.739833,-0.0244,0.0015,0.0364,0.044
38.743016,0.0026,-0.0325,0.0075,0.033
38.751712,0.0269,-0.0544,0.0122,0.062
38.752886,0.0201,-0.0498,-0.0022,0.054
38.760032,0.0037,-0.0072,-0.0426,0.043
38.763045,-0.0103,-0.0267,-0.0351,0.045
38.768144,-0.0174,-0.0246,-0.0134,0.033
38.772244,-0.0342,0.0177,-0.0180,0.042
38.779199,-0.0036,0.0146,-0.0202,0.025
38.787123,0.0621,0.0184,-0.0128,0.066
38.788333,0.0323,0.0126,0.0088,0.036
38.794710,-0.0187,0.0329,0.0397,0.055
38.801339,-0.0125,0.0410,0.0347,0.055
38.803519,-0.0086,0.0537,-0.0295,0.062
38.806967,-0.0358,0.0165,-0.0410,0.057
38.812513,-0.0152,-0.0108,-0.0382,0.043
38.818319,0.0002,0.0143,-0.0163,0.022
38.825142,0.0178,0.0298,-0.0066,0.035
38.828305,0.0257,0.0238,-0.0016,0.035
38.833554,0.0049,0.0226,-0.0061,0.024
38.838099,-0.0301,0.0381,0.0179,0.052
38.842486,-0.0270,-0.0011,0.0488,0.056
38.851532,-0.0193,0.0001,0.1151,0.117
38.852422,0.0072,-0.0036,0.1239,0.124
38.857891,0.0360,-0.0195,0.1397,0.146
38.862061,0.1026,-0.0473,0.0842,0.141
38.867475,0.0951,-0.0440,0.0457,0.114
38.871766,0.1209,-0.0716,-0.0043,0.141
38.876567,0.1204,-0.1035,-0.0016,0.159
38.882267,0.1151,-0.1042,-0.0061,0.155
38.885684,0.0739,-0.0504,0.0155,0.091
38.890955,0.0659,-0.0160,-0.0128,0.069
38.900912,0.0198,-0.0056,-0.1310,0.133
38.902313,0.0401,-0.0425,-0.1130,0.127
38.906741,0.0432,-0.0125,-0.1116,0.120
38.910984,0.0318,-0.0015,-0.1150,0.119
38.923480,0.0251,0.0381,-0.1801,0.186
38.924497,0.0207,0.0254,-0.1449,0.149
38.925032,0.0215,0.0391,-0.1575,0.164
38.931481,0.0012,0.0364,-0.1891,0.193
38.936770,0.0173,0.0245,-0.1658,0.169
38.940167,0.0102,0.0319,-0.1808,0.184
38.945701,-0.0224,0.0324,-0.1863,0.190
38.951415,0.0194,0.0259,-0.1229,0.127
38.957342,-0.0263,0.0386,-0.0554,0.072
38.961312,-0.0857,0.0747,-0.0098,0.114
38.965844,-0.1114,0.0536,-0.0192,0.125
38.971126,-0.1154,0.0231,0.0071,0.118
38.976357,-0.1362,0.0166,0.0046,0.137
38.980652,-0.0906,0.0174,-0.0215,0.095
38.985582,-0.1022,0.0135,-0.0331,0.108
38.990493,-0.0327,0.0192,-0.0424,0.057
38.994433,-0.0061,-0.0322,-0.0278,0.043
39.000511,-0.0127,-0.0664,0.0032,0.068
39.005040,-0.0238,-0.0884,0.0197,0.094
39.010710,-0.0441,-0.0677,0.0384,0.089
39.020951,0.0166,-0.0804,0.0569,0.100
39.022068,0.0392,-0.0978,0.0682,0.125
39.023889,0.0429,-0.1293,0.0793,0.158
39.035137,-0.0150,-0.0942,0.0784,0.124
39.036111,-0.0394,-0.0310,0.0562,0.075
39.039890,-0.0115,-0.0134,0.0959,0.098
39.046401,-0.0056,0.0372,0.1164,0.122
39.049537,0.0308,0.0730,0.1272,0.150
39.054675,0.0122,0.0751,0.1379,0.157
39.058566,-0.0254,0.0934,0.1866,0.210
39.063812,-0.0369,0.0805,0.1755,0.197
39.068973,-0.0721,0.0911,0.1076,0.158
39.073812,-0.0265,0.0873,0.0355,0.098
39.080303,-0.0194,0.0456,0.0352,0.061
39.082863,0.0163,-0.0125,-0.0078,0.022
39.089225,0.0257,-0.0153,-0.0409,0.051
39.093308,-0.0051,-0.0181,-0.0667,0.069
39.098721,0.0026,0.0005,-0.0567,0.057
39.104048,0.0176,0.0073,-0.0753,0.078
39.107463,0.0017,-0.0309,-0.0629,0.070
39.120894,-0.0235,-0.0379,-0.0150,0.047
39.122058,-0.0271,-0.0376,-0.0292,0.055
39.122609,0.0144,-0.0470,0.0018,0.049
39.135169,0.0390,-0.0493,0.0397,0.074
39.136134,0.0825,-0.0492,0.0226,0.099
39.138647,0.0857,-0.0183,-0.0086,0.088
39.146013,0.0653,-0.0161,0.0127,0.068
39.149537,0.0308,-0.0116,0.0243,0.041
39.153804,-0.0083,0.0072,0.0026,0.011
39.159468,-0.0095,0.0162,0.0143,0.024
39.161952,-0.0134,0.0014,0.0640,0.065
39.168059,-0.0034,0.0055,0.0896,0.090
39.173135,0.0322,0.0213,0.0793,0.088
39.178686,0.0342,0.0132,0.0550,0.066
39.181183,0.0288,0.0026,0.0332,0.044
39.187238,0.0377,-0.0316,0.0377,0.062
39.192044,0.0061,-0.0181,0.0256,0.032
39.197603,0.0104,0.0025,-0.0268,0.029
39.201110,-0.0185,-0.0148,-0.0099,0.026
39.205853,-0.0188,-0.0060,-0.0311,0.037
39.222492,0.0094,-0.0256,-0.0189,0.033
39.223951,0.0137,0.0047,-0.0116,0.019
39.224620,0.0205,-0.0031,-0.0067,0.022
39.237109,0.0058,0.0248,-0.0327,0.041
39.237849,0.0053,0.0098,-0.0632,0.064
39.238489,-0.0046,-0.0075,-0.0721,0.073
39.243267,0.0211,-0.0124,-0.0810,0.085
39.246271,-0.0105,-0.0101,-0.0802,0.082
39.250914,0.0316,0.0018,-0.0653,0.073
39.255599,0.0475,-0.0385,-0.0765,0.098
39.261134,0.0705,-0.0310,-0.0497,0.092
39.266917,0.0980,-0.0260,0.0101,0.102
39.269950,0.0516,0.0002,0.0385,0.064
39.274705,0.0078,-0.0190,0.0098,0.023
39.281207,0.0142,-0.0310,-0.0258,0.043
39.285121,-0.0104,0.0022,-0.0160,0.019
39.290058,0.0248,-0.0124,-0.0016,0.028
39.301085,-0.0139,0.0089,0.0127,0.021
39.302242,-0.0024,0.0443,0.0079,0.045
39.306686,-0.0243,0.0392,0.0150,0.048
39.315140,-0.0343,0.0651,-0.0349,0.081
39.316079,-0.0490,0.0530,0.0011,0.072
39.320799,-0.0397,0.0385,0.0249,0.061
39.325916,-0.0638,0.0287,0.0343,0.078
39.330170,-0.0834,0.0022,0.0578,0.101
39.335749,-0.0412,-0.0597,0.0005,0.073
39.340900,0.0102,-0.0619,-0.0682,0.093
39.346381,0.0091,-0.0613,-0.1483,0.161
39.349040,0.0225,-0.0532,-0.1968,0.205
39.354375,0.0289,-0.0187,-0.1619,0.166
39.359120,0.0522,0.0111,-0.1487,0.158
39.365229,0.0281,0.0077,-0.1166,0.120
39.369496,0.0183,0.0400,-0.0207,0.049
39.374271,-0.0320,0.0649,0.0032,0.072
39.378813,-0.0369,0.0278,-0.0063,0.047
39.386063,-0.0515,0.0242,0.0412,0.070
39.390118,-0.0542,0.0372,0.0647,0.092
39.401154,-0.0785,0.0570,0.0642,0.116
39.402180,0.0019,0.0434,0.0899,0.100
39.403513,0.0345,0.0368,0.0559,0.075
39.413986,0.0745,-0.0031,0.1243,0.145
39.414835,0.0673,0.0070,0.1303,0.147
39.417411,0.0344,-0.0284,0.1600,0.166
39.423197,0.0066,-0.0091,0.1253,0.126
39.431053,-0.0254,-0.0163,0.0743,0.080
39.433936,0.0071,-0.0211,0.0355,0.042
39.438695,-0.0127,-0.0329,0.0113,0.037
39.442976,-0.0538,-0.0255,0.0182,0.062
39.448420,-0.0496,-0.0300,-0.0058,0.058
39.453190,-0.0362,-0.0274,0.0178,0.049
39.460465,-0.0372,-0.0414,0.0057,0.056
39.463918,-0.0455,-0.0198,0.0198,0.053
39.467393,-0.0158,-0.0198,-0.0018,0.025
39.472060,0.0398,-0.0246,-0.0470,0.066
39.476739,0.0382,-0.0434,-0.0800,0.099
39.484135,0.0271,-0.0287,-0.0747,0.084
39.487620,0.0112,-0.0021,-0.0362,0.038
39.494171,-0.0308,0.0196,-0.0336,0.050
39.498005,0.0011,0.0340,0.0022,0.034
39.502604,0.0114,0.0245,0.0092,0.029
39.512883,0.0218,-0.0062,0.0019,0.023
39.514458,0.0348,-0.0247,-0.0220,0.048
39.517812,0.0006,-0.0074,-0.0528,0.053
39.523308,0.0288,0.0147,-0.0645,0.072
39.526792,0.0762,0.0082,-0.0832,0.113
39.532921,0.0477,0.0185,-0.0473,0.070
39.539841,0.0435,0.0002,-0.0187,0.047
39.541141,-0.0174,-0.0038,0.0071,0.019
39.546213,-0.0541,-0.0293,0.0115,0.063
39.552552,-0.0884,0.0002,-0.0317,0.094
39.557537,-0.0799,0.0177,-0.0793,0.114
39.560865,-0.0308,-0.0171,-0.1098,0.115
39.566040,-0.0083,-0.0135,-0.0618,0.064
39.572617,0.0570,-0.0429,-0.0545,0.090
39.576346,0.0696,-0.0057,0.0191,0.072
39.582591,0.0278,0.0002,0.0304,0.041
39.586174,-0.0374,0.0439,0.0915,0.108
39.591565,-0.0693,0.0586,0.1094,0.142
39.595660,-0.0445,0.0375,0.0987,0.115
39.600694,-0.0724,0.0283,0.0667,0.102
39.611413,-0.0601,0.0097,0.0826,0.103
39.612773,-0.0554,0.0528,0.1149,0.138
39.616224,-0.0487,0.0694,0.1281,0.154
39.620348,-0.0162,0.0619,0.1411,0.155
39.628084,-0.0101,0.0427,0.0662,0.079
39.631655,0.0030,0.0545,0.0560,0.078
39.634951,-0.0268,-0.0049,0.0388,0.047
39.643197,0.0529,-0.0188,0.0337,0.065
39.654697,0.0540,-0.0374,-0.0261,0.071
39.655403,0.0742,-0.0606,-0.0427,0.105
39.655842,0.0111,-0.0623,-0.0021,0.063
39.660877,-0.0330,-0.0309,0.0619,0.077
39.664536,-0.0370,0.0381,0.0945,0.108
39.670130,-0.0514,0.0445,0.0986,0.120
39.674936,-0.0403,0.0269,0.0741,0.089
39.682325,0.0224,0.0214,0.0571,0.065
39.684583,0.0630,-0.0149,-0.0121,0.066
39.693066,0.0868,-0.0082,-0.0735,0.114
39.694193,0.1060,0.0035,-0.1107,0.153
39.698483,0.1135,-0.0154,-0.1429,0.183
39.706572,0.0833,-0.0174,-0.1702,0.190
39.708870,0.0655,-0.0024,-0.1521,0.166
39.713936,0.0479,0.0126,-0.1318,0.141
39.718606,0.0019,0.0229,-0.0856,0.089
39.723778,-0.0771,0.0377,-0.0160,0.087
39.729173,-0.0534,0.0190,0.0151,0.059
39.732625,0.0011,0.0312,0.0649,0.072
39.744624,0.0339,0.0217,0.0976,0.106
39.745238,0.0287,0.0408,0.0635,0.081
39.749852,0.0264,0.0335,0.0345,0.055
39.752846,-0.0181,-0.0328,-0.0371,0.053
39.757807,0.0405,-0.0748,-0.0536,0.101
39.761996,0.0564,-0.1021,-0.0557,0.129
39.767031,0.0700,-0.1100,-0.0436,0.137
39.772066,-0.0042,-0.0940,-0.0316,0.099
39.778051,-0.0307,-0.0523,0.0230,0.065
39.782314,-0.0575,-0.0134,0.0156,0.061
39.787237,-0.0657,0.0036,0.0700,0.096
39.793790,-0.0674,0.0203,0.1169,0.136
39.797703,-0.0482,0.0558,0.1444,0.162
39.808036,-0.0462,0.0908,0.1385,0.172
39.809323,-0.0398,0.0686,0.0710,0.106
39.812153,-0.0526,0.0488,0.0468,0.086
39.816849,-0.0368,0.0293,0.0442,0.065
39.821432,-0.0354,0.0051,0.0273,0.045
39.827165,-0.0743,0.0146,0.0011,0.076
39.833085,-0.0487,-0.0068,0.0154,0.052
39.837637,-0.0135,-0.0375,-0.0179,0.044
39.842600,0.0246,-0.0348,-0.0510,0.066
39.848630,0.0868,-0.0795,-0.0933,0.150
39.853327,0.0184,-0.0501,-0.0571,0.078
39.856785,-0.0161,-0.0115,-0.0306,0.036
39.861608,-0.0240,-0.0039,-0.0685,0.073
39.867305,-0.0033,0.0035,-0.0538,0.054
39.871468,0.0031,0.0061,-0.0274,0.028
39.876908,-0.0120,0.0204,-0.0487,0.054
39.881574,0.0083,0.0133,-0.0437,0.046
39.891423,-0.0076,0.0039,-0.0505,0.051
39.892272,-0.0000,0.0113,-0.0383,0.040
39.897249,0.0381,0.0327,-0.0380,0.063
39.907490,0.0189,0.0421,0.0264,0.053
39.908456,0.0284,0.0088,0.0167,0.034
39.911580,0.0522,0.0017,-0.0143,0.054
39.935096,0.0739,-0.0099,-0.0119,0.076
39.936114,0.0483,-0.0118,-0.0523,0.072
39.936657,0.0278,0.0032,-0.0757,0.081
39.937292,0.0122,-0.0176,-0.0396,0.045
39.937984,-0.0082,0.0022,-0.0085,0.012
39.940597,-0.0216,0.0122,0.0698,0.074
39.946101,-0.0495,0.0078,0.0739,0.089
39.952461,-0.0420,0.0056,0.0875,0.097
39.956627,-0.0302,-0.0038,0.0940,0.099
39.960868,-0.0235,0.0129,0.1122,0.115
39.965244,-0.0145,0.0033,0.0781,0.080
39.969670,0.0255,-0.0039,0.0585,0.064
39.976230,-0.0178,-0.0017,0.0533,0.056
39.979206,0.0131,-0.0207,-0.0041,0.025
39.985058,0.0348,-0.0135,-0.0729,0.082
39.989622,0.0451,-0.0416,-0.2030,0.212
39.996228,0.0578,-0.0931,-0.1231,0.165
40.005493,0.0063,-0.0822,-0.1080,0.136
40.006585,-0.0209,-0.0452,-0.1119,0.123
40.012785,0.0283,-0.0063,-0.0637,0.070
40.015630,0.0014,0.0370,-0.0016,0.037
40.020249,0.0009,0.0134,0.0196,0.024
40.024296,-0.0281,-0.0005,-0.0235,0.037
40.030003,-0.0666,0.0308,-0.0163,0.075
40.034432,-0.0621,0.0218,-0.0449,0.080
40.039922,-0.0629,0.0152,-0.0066,0.065
40.044482,-0.0211,0.0396,0.0432,0.062
40.050594,0.0392,0.0210,0.0522,0.069
40.055580,0.0778,0.0404,0.0541,0.103
40.059575,0.0948,0.0288,0.0416,0.107
40.064581,0.0881,0.0315,0.0293,0.098
40.070220,0.0220,0.0342,0.0076,0.041
40.074000,-0.0202,0.0227,0.0288,0.042
40.079099,0.0114,0.0281,0.0024,0.030
40.085106,0.0236,-0.0142,0.0237,0.036
40.090152,-0.0190,0.0056,0.0306,0.036
40.094569,-0.0208,0.0132,0.0018,0.025
40.099891,0.0012,0.0159,0.0397,0.043
40.105232,-0.0150,0.0117,0.0607,0.064
40.109847,0.0262,0.0406,0.0530,0.072
40.114350,0.0248,-0.0164,0.0097,0.031
40.124015,0.0239,-0.0633,-0.0476,0.083
40.124964,-0.0647,-0.0695,0.0025,0.095
40.129218,-0.0600,-0.0399,-0.0428,0.084
40.133523,-0.0247,-0.0437,-0.0402,0.064
40.137546,0.0084,-0.0404,-0.0519,0.066
40.143506,0.0013,-0.0039,-0.0256,0.026
40.148079,0.0087,-0.0104,-0.0233,0.027
40.153123,-0.0124,0.0118,-0.0329,0.037
40.159283,-0.0357,0.0076,0.0384,0.053
40.162785,-0.0639,0.0485,0.0853,0.117
40.169303,-0.0706,0.0721,0.1081,0.148
40.173109,0.0228,0.0621,0.1165,0.134
40.183059,0.0466,0.0475,0.0868,0.109
40.183517,0.0632,0.0542,-0.0020,0.083
40.187921,0.0423,-0.0532,0.0286,0.074
40.196100,-0.0302,-0.0647,-0.0290,0.077
40.197205,-0.0000,-0.0378,-0.0410,0.056
40.210506,-0.0057,-0.0322,-0.0576,0.066
40.211549,-0.0473,0.0018,-0.0360,0.059
40.212074,-0.0246,0.0330,-0.0289,0.050
40.219882,0.0215,-0.0024,-0.0527,0.057
40.224361,0.0293,-0.0090,-0.0715,0.078
40.226222,0.0871,-0.0465,-0.0499,0.111
40.231710,0.1158,-0.0481,-0.0783,0.148
40.236903,0.0204,-0.0234,-0.1301,0.134
40.240523,0.0346,-0.0555,-0.1316,0.147
40.246598,0.0127,-0.0350,-0.1070,0.113
40.251502,0.0073,0.0257,-0.0137,0.030
40.256220,-0.0102,0.0334,0.0789,0.086
40.260755,-0.0113,0.0504,0.1280,0.138
40.266236,-0.0198,0.0551,0.1553,0.166
40.274730,-0.0546,0.0929,0.1421,0.178
40.275849,-0.0491,0.0945,0.1219,0.162
40.282303,-0.0556,0.0913,0.1114,0.154
40.287794,-0.0287,0.0525,0.0819,0.101
40.291364,0.0171,-0.0121,0.0313,0.038
40.296125,0.0368,-0.0430,-0.0568,0.080
40.302177,0.0377,-0.0543,-0.1372,0.152
40.306599,0.0009,-0.0275,-0.1409,0.144
40.311494,0.0026,-0.0386,-0.1423,0.147
40.315108,0.0116,-0.0590,-0.1341,0.147
40.324935,0.0135,-0.0506,-0.1095,0.121
40.325959,0.0012,-0.0255,-0.1135,0.116
40.332466,-0.0300,-0.0291,-0.1009,0.109
40.336143,-0.0110,-0.0112,-0.1121,0.113
40.339628,0.0126,-0.0265,-0.0781,0.083
40.343927,0.0075,0.0131,-0.0871,0.088
40.351080,0.0290,-0.0257,-0.0938,0.101
40.354677,0.0079,0.0189,-0.0125,0.024
40.359725,-0.0178,0.0227,0.0253,0.038
40.365756,-0.0409,0.0407,0.0699,0.091
40.370156,-0.0594,0.0489,0.0881,0.117
40.374623,-0.0711,0.0165,0.1276,0.147
40.380551,-0.0928,0.0695,0.1572,0.195
40.385722,-0.1127,0.0696,0.1820,0.225
40.392475,-0.1237,0.0741,0.1828,0.233
40.394357,-0.0756,0.0665,0.1410,0.173
40.400847,-0.0281,0.0564,0.1327,0.147
40.403815,0.0310,0.0298,0.0747,0.086
40.409164,0.1139,-0.0108,0.0289,0.118
40.414464,0.1117,-0.0439,-0.0759,0.142
40.425551,0.0984,-0.0455,-0.1110,0.155
40.426567,0.0407,-0.0232,-0.1103,0.120
40.430521,0.0049,-0.0270,-0.1214,0.124
40.439596,-0.0092,0.0074,-0.1135,0.114
40.440426,-0.0023,-0.0132,-0.0985,0.099
40.444587,-0.0389,0.0281,-0.0480,0.068
40.448133,-0.0477,-0.0046,-0.0642,0.080
40.454475,-0.0429,-0.0085,-0.0447,0.063
40.459208,0.0138,0.0185,-0.0561,0.061
40.464215,0.0653,0.0263,-0.0509,0.087
40.469209,0.0501,0.0152,-0.0030,0.052
40.473965,0.0400,0.0161,0.0089,0.044
40.478288,0.0470,0.0004,-0.0030,0.047
40.483501,0.0330,-0.0151,0.0017,0.036
40.489921,0.0289,0.0194,0.0016,0.035
40.493003,0.0178,-0.0152,-0.0318,0.039
40.498316,-0.0075,-0.0163,0.0277,0.033
40.503589,-0.0161,-0.0200,0.0844,0.088
40.508230,-0.0319,0.0166,0.0694,0.078
40.514167,0.0212,0.0219,0.0640,0.071
40.522631,-0.0090,0.0270,0.0990,0.103
40.523973,-0.0129,0.0034,0.1242,0.125
40.527310,-0.0096,0.0296,0.1303,0.134
40.532819,-0.0542,0.0126,0.1980,0.206
40.537576,-0.0371,-0.0046,0.1655,0.170
40.543206,-0.0158,-0.0838,0.1238,0.150
40.547863,-0.0090,-0.0674,0.0278,0.074
40.551660,0.0001,-0.0558,-0.0293,0.063
40.557574,0.0138,-0.0323,-0.0575,0.067
40.562837,-0.0058,-0.0016,-0.0594,0.060
40.570253,0.0439,0.0148,-0.1087,0.118
40.571469,0.0077,0.0289,-0.0674,0.074
40.576833,0.0003,0.0169,-0.0740,0.076
40.581358,-0.0382,0.0192,-0.0686,0.081
40.586969,0.0044,0.0169,-0.0893,0.091
40.591363,0.0253,0.0123,-0.1147,0.118
40.596666,0.0008,0.0270,-0.1303,0.133
40.607278,0.0005,0.0228,-0.1268,0.129
40.608153,-0.0235,0.0424,-0.0403,0.063
40.612354,0.0003,0.0547,0.0289,0.062
40.617163,-0.0428,0.0168,0.0619,0.077
40.623451,-0.0501,0.0335,0.0757,0.097
40.627793,-0.0525,0.0381,0.0893,0.110
40.632134,-0.0170,0.0282,0.1219,0.126
40.636940,-0.0053,0.0205,0.1304,0.132
40.641335,-0.0173,0.0460,0.1127,0.123
40.646515,-0.0242,0.0260,0.0975,0.104
40.650086,-0.0215,0.0110,0.0801,0.084
40.656499,0.0194,-0.0133,0.0105,0.026
40.661799,0.0054,-0.0349,-0.0394,0.053
40.666430,0.0439,-0.0349,-0.0486,0.074
40.670260,0.0537,-0.0776,-0.0079,0.095
40.676392,0.0396,-0.0346,-0.0174,0.055
40.680440,0.0444,-0.0180,0.0065,0.048
40.685506,0.0038,-0.0015,-0.0316,0.032
40.690598,-0.0319,-0.0137,0.0043,0.035
40.695412,0.0015,0.0194,0.0067,0.021
40.706328,0.0367,-0.0048,-0.0076,0.038
40.707657,0.0218,-0.0048,-0.0431,0.049
40.711415,0.0140,0.0143,-0.0499,0.054
40.715311,-0.0009,0.0096,-0.0589,0.060
40.722665,0.0317,0.0216,-0.0014,0.038
40.724115,0.0379,0.0453,0.0485,0.076
40.729018,-0.0082,0.0805,0.1170,0.142
40.735999,-0.0231,0.0557,0.1232,0.137
40.740030,-0.0401,0.0642,0.0843,0.113
40.744730,-0.0046,0.0036,0.0361,0.037
40.751961,0.0095,-0.0516,-0.0235,0.058
40.755726,0.0169,-0.0470,-0.0684,0.085
40.759775,0.0292,-0.0470,-0.0798,0.097
40.764031,-0.0062,0.0054,-0.0459,0.047
40.769230,-0.0293,-0.0089,-0.0123,0.033
40.774332,-0.0121,-0.0041,0.0139,0.019
40.779331,-0.0142,-0.0090,0.0446,0.048
40.784281,0.0337,-0.0709,0.0442,0.090
40.789752,0.0433,-0.0541,-0.0132,0.071
40.793878,0.0504,-0.0658,-0.0416,0.093
40.807045,0.0098,-0.0440,-0.0626,0.077
40.808099,0.0478,-0.0412,-0.0550,0.084
40.808634,0.0739,-0.0313,-0.0830,0.115
40.814814,0.0238,-0.0379,-0.0562,0.072
40.819789,0.0120,-0.0065,-0.0036,0.014
40.826180,-0.0593,0.0033,0.0202,0.063
40.829192,-0.0165,0.0414,0.0438,0.062
40.833560,-0.0385,0.0460,0.0672,0.090
40.839549,-0.0416,0.0170,0.0739,0.086
40.842501,-0.0542,0.0334,0.0615,0.089
40.848859,-0.0311,0.0354,0.0421,0.063
40.853230,-0.0031,0.0399,0.0133,0.042
40.858389,-0.0250,0.0253,0.0061,0.036
40.862621,-0.0036,0.0038,0.0037,0.006
