time,wx (rad/s),wy (rad/s),wz (rad/s)
1.167449,0.07,-0.15,0.03
1.170007,0.07,-0.15,0.03
1.172683,0.08,-0.14,0.03
1.175475,0.09,-0.14,0.03
1.177745,0.09,-0.14,0.03
1.179225,0.09,-0.13,0.03
1.181914,0.09,-0.13,0.02
1.184956,0.09,-0.13,0.02
1.187009,0.09,-0.13,0.02
1.196974,0.08,-0.13,0.02
1.198267,0.08,-0.14,0.02
1.201472,0.07,-0.13,0.02
1.202190,0.05,-0.13,0.02
1.202637,0.04,-0.14,0.02
1.203090,0.03,-0.14,0.02
1.206450,0.02,-0.14,0.02
1.229261,0.01,-0.14,0.02
1.230333,-0.00,-0.14,0.02
1.230761,-0.02,-0.14,0.02
1.231123,-0.03,-0.14,0.02
1.231444,-0.04,-0.13,0.02
1.231960,-0.04,-0.12,0.02
1.232279,-0.05,-0.12,0.01
1.232679,-0.05,-0.10,0.01
1.232999,-0.06,-0.10,0.01
1.233325,-0.06,-0.09,0.01
1.233583,-0.06,-0.08,0.01
1.233835,-0.05,-0.07,0.01
1.237338,-0.05,-0.07,0.01
1.240561,-0.05,-0.06,0.00
1.241511,-0.04,-0.06,0.00
1.243075,-0.04,-0.06,-0.00
1.246013,-0.03,-0.06,-0.00
1.249184,-0.03,-0.06,-0.00
1.250948,-0.02,-0.06,-0.00
1.258152,-0.02,-0.07,-0.00
1.258728,-0.01,-0.07,-0.00
1.258933,-0.01,-0.07,-0.00
1.260679,-0.00,-0.07,-0.00
1.263466,-0.00,-0.07,-0.00
1.265549,0.00,-0.08,0.00
1.268957,0.00,-0.08,0.00
1.273663,0.00,-0.08,0.00
1.274402,0.01,-0.08,0.00
1.277486,0.01,-0.07,0.00
1.278081,0.01,-0.06,0.01
1.284600,0.01,-0.06,0.01
1.285215,0.01,-0.05,0.01
1.285507,0.01,-0.04,0.01
1.296435,0.00,-0.03,0.01
1.297557,0.00,-0.02,0.01
1.297966,-0.00,-0.01,0.01
1.298308,-0.01,-0.01,0.01
1.298587,-0.01,0.00,0.01
1.300588,-0.01,0.01,0.01
1.303142,-0.02,0.02,0.01
1.305732,-0.02,0.03,0.01
1.307264,-0.02,0.04,0.00
1.310329,-0.02,0.05,0.00
1.312761,-0.02,0.06,-0.00
1.315184,-0.02,0.06,-0.00
1.318211,-0.02,0.06,-0.00
1.319958,-0.02,0.07,-0.00
1.322644,-0.02,0.06,-0.00
1.325705,-0.02,0.06,-0.00
1.327005,-0.01,0.06,-0.00
1.330250,-0.01,0.06,-0.01
1.332369,-0.01,0.05,-0.00
1.334450,-0.00,0.04,-0.00
1.337899,-0.00,0.04,-0.00
1.340623,0.00,0.03,0.00
1.341725,0.01,0.03,0.00
1.344907,0.01,0.02,0.01
1.347331,0.01,0.02,0.01
1.349787,0.02,0.02,0.01
1.352466,0.02,0.02,0.01
1.358369,0.02,0.01,0.01
1.359778,0.02,0.01,0.01
1.360456,0.02,0.00,0.01
1.362259,0.01,-0.00,0.01
1.364201,0.01,-0.01,0.01
1.366912,0.01,-0.01,0.02
1.371405,0.00,-0.01,0.02
1.372241,-0.00,-0.01,0.02
1.374967,-0.01,-0.01,0.02
1.376741,-0.02,-0.00,0.02
1.379418,-0.02,0.00,0.02
1.381765,-0.03,0.01,0.01
1.384860,-0.04,0.01,0.01
1.390826,-0.04,0.01,0.01
1.391849,-0.05,0.02,0.01
1.392269,-0.06,0.02,0.01
1.396821,-0.07,0.03,0.01
1.397603,-0.07,0.03,0.01
1.400534,-0.07,0.04,0.01
1.401076,-0.08,0.04,0.01
1.424783,-0.08,0.04,0.01
1.425588,-0.08,0.04,0.01
1.425887,-0.08,0.04,0.01
1.426132,-0.08,0.04,0.01
1.426369,-0.08,0.03,0.01
1.426613,-0.08,0.02,0.01
1.426872,-0.08,0.02,0.01
1.427118,-0.07,0.01,0.00
1.427372,-0.06,0.01,-0.00
1.427622,-0.06,0.01,-0.00
1.427857,-0.05,0.01,-0.00
1.431015,-0.04,0.01,-0.01
1.434306,-0.04,0.01,-0.01
1.436452,-0.03,0.01,-0.01
1.439503,-0.02,0.01,-0.01
1.440847,-0.01,0.01,-0.01
1.443587,-0.01,0.01,-0.01
1.446109,0.00,0.01,-0.01
1.448974,0.01,0.01,-0.01
1.450468,0.01,0.02,-0.01
1.453753,0.02,0.02,-0.01
1.455991,0.02,0.03,-0.01
1.457999,0.03,0.03,-0.01
1.460802,0.03,0.04,-0.01
1.463058,0.03,0.04,-0.01
1.465815,0.04,0.04,-0.01
1.469314,0.04,0.05,-0.00
1.470423,0.04,0.05,-0.00
1.472642,0.04,0.05,0.00
1.475676,0.04,0.05,0.00
1.480269,0.04,0.04,0.00
1.481621,0.04,0.04,0.01
1.494276,0.04,0.04,0.01
1.495520,0.03,0.04,0.01
1.496077,0.03,0.04,0.00
1.496646,0.02,0.04,0.00
1.496947,0.02,0.05,-0.00
1.497207,0.02,0.05,-0.00
1.497466,0.01,0.05,-0.01
1.504633,0.01,0.04,-0.01
1.505268,0.00,0.03,-0.01
1.505563,-0.01,0.02,-0.01
1.519254,-0.02,0.01,-0.01
1.520191,-0.03,0.00,-0.01
1.520741,-0.04,-0.00,-0.01
1.521067,-0.04,-0.01,-0.01
1.521318,-0.05,-0.01,-0.01
1.521543,-0.06,-0.01,-0.01
1.521758,-0.06,-0.01,-0.01
1.524215,-0.07,-0.01,-0.01
1.526745,-0.07,-0.00,-0.01
1.529271,-0.07,0.00,-0.01
1.531811,-0.07,0.00,-0.01
1.536743,-0.07,0.01,-0.01
1.538129,-0.07,0.01,-0.01
1.539144,-0.06,0.01,-0.01
1.542147,-0.06,0.01,-0.01
1.544123,-0.06,0.00,-0.01
1.546881,-0.05,-0.00,-0.00
1.549135,-0.04,-0.01,-0.00
1.554419,-0.04,-0.02,0.00
1.556000,-0.03,-0.02,0.00
1.556802,-0.03,-0.03,0.00
1.560061,-0.02,-0.04,0.00
1.561232,-0.01,-0.04,-0.00
1.564100,-0.01,-0.05,-0.00
1.568684,-0.00,-0.06,-0.00
1.569643,0.01,-0.06,-0.01
1.570539,0.01,-0.06,-0.01
1.573437,0.02,-0.07,-0.01
1.575512,0.02,-0.07,-0.01
1.577990,0.03,-0.07,-0.01
1.580440,0.03,-0.07,-0.00
1.589593,0.03,-0.07,-0.00
1.593290,0.04,-0.07,-0.00
1.593825,0.03,-0.06,0.00
1.594239,0.03,-0.06,0.00
1.594631,0.03,-0.05,0.00
1.600778,0.03,-0.05,0.00
1.601639,0.03,-0.04,0.01
1.602163,0.02,-0.03,0.00
1.618916,0.02,-0.03,0.00
1.619898,0.01,-0.03,0.00
1.620349,0.01,-0.02,0.00
1.620744,0.00,-0.02,0.00
1.621084,0.00,-0.02,0.00
1.621382,-0.01,-0.02,0.00
1.621672,-0.01,-0.01,-0.00
1.621944,-0.02,-0.01,0.00
1.623942,-0.02,-0.00,0.00
1.626268,-0.02,0.00,0.00
1.628671,-0.03,0.01,0.00
1.631358,-0.03,0.01,0.00
1.633630,-0.03,0.01,0.00
1.636040,-0.03,0.01,0.00
1.638953,-0.03,0.01,0.00
1.640247,-0.03,0.01,0.00
1.642587,-0.03,0.02,0.01
1.646893,-0.03,0.02,0.01
1.647658,-0.02,0.02,0.00
1.651066,-0.02,0.02,0.01
1.652892,-0.02,0.02,0.00
1.657400,-0.01,0.02,0.01
1.658328,-0.01,0.01,0.01
1.659924,-0.01,0.01,0.01
1.663431,-0.00,0.00,0.01
1.670666,-0.00,0.00,0.01
1.671771,0.00,-0.00,0.01
1.672211,0.00,-0.01,0.01
1.672801,0.01,-0.01,0.01
1.676750,0.01,-0.01,0.01
1.680699,0.01,-0.02,0.02
1.681317,0.01,-0.02,0.02
1.692970,0.01,-0.01,0.02
1.693944,0.01,-0.01,0.03
1.694395,0.01,-0.00,0.03
1.694750,0.01,0.00,0.03
1.695081,0.01,0.01,0.03
1.695369,0.01,0.02,0.04
1.697291,0.01,0.03,0.04
1.703690,0.02,0.04,0.04
1.704411,0.02,0.04,0.04
1.704653,0.02,0.04,0.03
1.706654,0.03,0.04,0.03
1.709900,0.03,0.04,0.03
1.711947,0.04,0.04,0.03
1.714496,0.04,0.03,0.03
1.717944,0.04,0.03,0.03
1.719149,0.05,0.03,0.03
1.721932,0.05,0.02,0.03
1.723887,0.06,0.02,0.03
1.726355,0.06,0.01,0.03
1.728975,0.06,-0.00,0.03
1.731734,0.07,-0.01,0.03
1.734336,0.07,-0.02,0.03
1.736620,0.07,-0.03,0.03
1.739024,0.07,-0.04,0.02
1.740986,0.07,-0.06,0.02
