time,I
112.514258,23.73
112.733622,23.73
112.927187,23.73
113.127765,23.73
113.338991,23.73
113.536005,23.73
113.751458,23.73
113.947362,23.73
114.151972,23.73
114.363820,23.73
114.560232,23.73
114.765435,23.73
115.176597,79.12
115.376935,79.12
115.582658,79.12
115.787341,79.12
115.991358,79.12
116.197931,79.12
116.403216,79.12
116.603807,79.12
116.809409,79.12
117.015135,79.12
117.217371,79.12
117.421026,79.12
117.627650,79.12
117.831994,79.12
118.036677,79.12
118.239532,79.12
118.443929,79.12
118.650693,79.12
118.853360,79.12
119.058847,79.12
119.263854,79.12
119.467818,79.12
119.671577,79.12
119.877682,79.12
120.288765,79.12
120.490466,79.12
120.694112,79.12
120.900035,79.12
121.104044,79.12
121.306834,79.12
121.511721,79.12
121.715683,0.00
121.920962,0.00
122.126038,0.00
122.739478,61.76
122.953000,61.76
123.148821,61.76
123.352345,61.76
123.557705,61.76
123.761873,61.76
123.972961,61.76
124.391022,42.52
124.791277,45.57
125.203497,23.52
125.398633,23.52
125.604374,23.52
125.806241,23.52
126.009275,23.52
126.215460,0.00
126.419404,0.00
126.624441,0.00
126.827617,0.00
127.240428,0.00
127.441964,0.00
127.646648,0.00
127.849941,0.00
128.054548,0.00
128.260573,0.00
128.464547,0.00
128.668655,0.00
128.873069,0.00
129.076991,0.00
129.281569,0.00
129.485681,0.00
129.687847,0.00
129.894220,0.00
130.101296,0.00
130.303496,0.00
130.508708,0.00
130.713513,0.00
130.918461,0.00
131.121377,0.00
131.323557,0.00
131.530217,0.00
131.734570,0.00
131.939722,0.00
132.144066,0.00
132.348403,0.00
132.554517,0.00
132.758509,0.00
132.961700,0.00
133.168566,0.00
133.372338,0.00
133.576920,0.00
133.781361,0.00
133.985735,0.00
134.189765,0.00
134.392926,0.00
134.598151,0.00
134.803528,0.00
135.007259,0.00
135.212655,0.00
135.416092,0.00
135.621733,0.00
135.824546,0.00
136.029047,0.00
136.233592,0.00
136.438944,0.00
136.646594,0.00
136.846865,0.00
137.060289,0.00
137.254502,0.00
137.471040,0.00
137.669414,0.00
137.868525,0.00
138.081531,0.00
138.278078,0.00
138.484491,0.00
138.693936,0.00
138.897565,0.00
139.096516,0.00
139.299154,0.00
139.504876,0.00
139.917913,0.00
140.119911,0.00
140.321833,0.00
140.736878,0.00
140.936651,0.00
141.142689,0.00
141.344700,0.00
141.549828,0.00
141.754816,0.00
141.958601,0.00
142.161493,0.00
142.577780,7.56
142.777819,7.56
142.980680,7.56
143.392566,15.77
143.592630,15.77
143.797624,15.77
144.004582,15.77
144.416682,107.98
144.615767,107.98
144.821178,107.98
145.024360,107.98
145.229268,107.98
145.433312,107.98
145.845089,111.50
146.047474,0.00
146.254379,0.00
146.456005,0.00
146.659998,0.00
146.866209,0.00
147.069708,0.00
147.277348,0.00
147.479636,0.00
147.686493,0.00
147.889837,0.00
148.092787,0.00
148.297920,0.00
148.502431,0.00
148.706406,0.00
148.910545,0.00
149.116723,0.00
149.320899,0.00
149.525393,0.00
149.728461,0.00
149.930485,0.00
150.136493,0.00
150.340388,0.00
150.558222,0.00
150.751575,0.00
150.956846,0.00
151.169531,0.00
151.365098,0.00
151.578751,0.00
151.779288,0.00
151.980626,0.00
152.186830,0.00
152.389546,0.00
152.590767,0.00
152.798042,0.00
153.000836,0.00
153.205336,0.00
153.407430,0.00
153.611777,0.00
153.816513,0.00
154.023451,0.00
154.226209,0.00
154.431011,0.00
154.636618,0.00
154.838838,0.00
155.044365,0.00
